 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
 0.000000000000000E+000, 0.000000000000000E+000
